     2   0.140421755144E-09   0.484295174946E-14   0.382205899015E-12   0.845767158393E-08   0.610216365436E-09  -0.199159289761E-11
     3   0.132767858115E-09   0.674642570897E-14   0.443687536514E-12   0.514402944231E-08   0.398905742551E-09  -0.157931269767E-11
     4   0.125363379601E-09   0.643589858279E-14   0.429516974542E-12   0.355497661483E-08   0.288253390446E-09  -0.110651498365E-11
     5   0.119755718043E-09   0.479239007941E-14   0.377235236380E-12   0.264109473232E-08   0.220924505121E-09  -0.688595327550E-12
     6   0.115843639500E-09   0.297204622292E-14   0.312724669419E-12   0.205549127889E-08   0.175997390696E-09  -0.360194684097E-12
     7   0.113283645129E-09   0.165713669631E-14   0.251153347131E-12   0.165313656565E-08   0.144201261468E-09  -0.127843889329E-12
     8   0.111686001031E-09   0.960430333812E-15   0.200232068489E-12   0.136251857673E-08   0.120713643661E-09   0.152305086720E-13
     9   0.110847985446E-09   0.679355384300E-15   0.162351515778E-12   0.114466121248E-08   0.102768504482E-09   0.841653415030E-13
    10   0.110576112015E-09   0.574017772917E-15   0.137654580247E-12   0.976347821425E-09   0.886493921894E-10   0.100213268893E-12
    11   0.110679743288E-09   0.505600731658E-15   0.124702053913E-12   0.843432621208E-09   0.773117737980E-10   0.856420094963E-13
    12   0.111208023189E-09   0.440081941290E-15   0.121375411678E-12   0.736093251526E-09   0.680296036296E-10   0.577472077235E-13
    13   0.112009854777E-09   0.390369265105E-15   0.124235931211E-12   0.648311852139E-09   0.603543838582E-10   0.259864060684E-13
    14   0.112909868128E-09   0.371616473174E-15   0.130000956098E-12   0.575298620269E-09   0.539240322186E-10  -0.244638784215E-14
    15   0.113917837986E-09   0.380243681037E-15   0.137325760187E-12   0.513963538123E-09   0.484846859153E-10  -0.224148451874E-13
    16   0.115092331523E-09   0.408836945568E-15   0.145442672994E-12   0.461832254454E-09   0.438265079898E-10  -0.306858347082E-13
    17   0.116501940959E-09   0.453379743516E-15   0.153954316454E-12   0.417193299217E-09   0.398075453611E-10  -0.295813365872E-13
    18   0.118173937937E-09   0.511975711798E-15   0.162548417415E-12   0.378620576288E-09   0.363104568593E-10  -0.229554156244E-13
    19   0.119960286720E-09   0.587811708132E-15   0.170882829967E-12   0.345066604022E-09   0.332484650797E-10  -0.152353636476E-13
    20   0.121714841838E-09   0.684796385910E-15   0.178791706311E-12   0.315643749479E-09   0.305478255077E-10  -0.995512350054E-14
    21   0.123474326249E-09   0.804642360400E-15   0.186844263840E-12   0.289725160059E-09   0.281563614250E-10  -0.650201506273E-14
    22   0.125303891867E-09   0.947876848502E-15   0.195582461879E-12   0.266775430183E-09   0.260291766157E-10  -0.363058618805E-14
    23   0.127199537996E-09   0.111248151174E-14   0.204704162278E-12   0.246364162016E-09   0.241289290785E-10  -0.171091959165E-14
    24   0.129142529252E-09   0.129662703645E-14   0.213757172729E-12   0.228111079229E-09   0.224223565066E-10  -0.140654420678E-14
    25   0.131124344086E-09   0.150178576353E-14   0.222533181757E-12   0.211731383777E-09   0.208849611550E-10  -0.293923897797E-14
    26   0.133141552915E-09   0.172957569483E-14   0.230861445179E-12   0.196976110020E-09   0.194953244707E-10  -0.605276209720E-14
    27   0.135200880190E-09   0.197889582136E-14   0.238477607141E-12   0.183644143623E-09   0.182355801069E-10  -0.902053873484E-14
    28   0.137307380013E-09   0.224888543425E-14   0.245122696370E-12   0.171553821672E-09   0.170894446005E-10  -0.101760811428E-13
    29   0.139449271067E-09   0.254236403583E-14   0.250652891566E-12   0.160553435597E-09   0.160434138189E-10  -0.956358292048E-14
    30   0.141615282412E-09   0.286242214008E-14   0.255001872612E-12   0.150507724268E-09   0.150854595785E-10  -0.779574764785E-14
    31   0.143813020013E-09   0.320955409637E-14   0.258298174122E-12   0.141317261964E-09   0.142066781608E-10  -0.604863747937E-14
    32   0.146051809836E-09   0.358372533824E-14   0.260641443970E-12   0.132893550967E-09   0.133991230519E-10  -0.533097363255E-14
    33   0.148328980922E-09   0.398538180046E-14   0.261820928321E-12   0.125155970153E-09   0.126555520892E-10  -0.541875500281E-14
    34   0.150636627452E-09   0.441557579301E-14   0.261657190802E-12   0.118029482679E-09   0.119691934224E-10  -0.576582702537E-14
    35   0.152957901068E-09   0.487730462534E-14   0.260406466595E-12   0.111453512230E-09   0.113344520990E-10  -0.577014361678E-14
    36   0.155282406461E-09   0.537307316157E-14   0.258316062691E-12   0.105373126362E-09   0.107462337600E-10  -0.503340374743E-14
    37   0.157634503054E-09   0.590147148473E-14   0.255161901751E-12   0.997415075844E-10   0.102002695222E-10  -0.402817812175E-14
    38   0.160038776011E-09   0.646085633208E-14   0.250649012046E-12   0.945155566305E-10   0.969263735126E-11  -0.330708122156E-14
    39   0.162485958745E-09   0.705256583886E-14   0.244670228603E-12   0.896589321725E-10   0.921997713205E-11  -0.287203090442E-14
    40   0.164958321730E-09   0.767868348980E-14   0.237165338144E-12   0.851369823673E-10   0.877906922930E-11  -0.258727087181E-14
    41   0.167441833039E-09   0.834095401155E-14   0.228085823646E-12   0.809173281793E-10   0.836690287557E-11  -0.234058149403E-14
    42   0.169937251146E-09   0.903976709844E-14   0.217429953129E-12   0.769766818024E-10   0.798130277477E-11  -0.211388981676E-14
    43   0.172449032123E-09   0.977517368670E-14   0.205207690874E-12   0.732940282376E-10   0.762030249867E-11  -0.191265955450E-14
    44   0.174981632041E-09   0.105472247126E-13   0.191429001161E-12   0.698483524862E-10   0.728193561905E-11  -0.174235442176E-14
